Kataloški broj;Barcode;Naziv robe;VPC;MPC
1217Q;8717109356359;OPRUGE PAKNI MERCEDES W202/203/210;13,07;15
1230Q;8717109356212;OSIGURAČI PLOČICA PR.FIAT PUNTO CITROEN C8 PEŽO 807 99.-;21,32;25
1232Q;8717109356199;OSIGURAČI PLOČICA ZAD.GALAXY/ALHAMBRA/SHARAN 99.-;17,75;21
1263Q;8717109235890;OSIGURAČI PLOČICA ZAD.PEŽO 405 VW PASSAT AUDI A4/A6 88.-;4,43;5
1264Q;5706021050929;OSIGURAČI PLOČICA PR.FORD GALAXY/MONDEO/SEDAN 94.-00.;11,44;13
1266Q;8717109235920;OSIGURAČI PLOČICA OPEL OMEGA VECTRA;15,78;18
1283Q;8717109356014;OSIGURAČI PLOČICA ZAD.MERCEDES SPRINTER 95.-;9,00;11
1301Q;8717109242218;GUMICE KLIJEŠTA VW GOLF II/III PASSAT AUDI;12,28;14
1351;8717109001570;MAN;50,70;59
15020;8717109002119;DISK PR.UNO -94. PANDA 94.- FI 227 MM=DF1721;29,75;35
15044;8717109002508;DISK PR. PANDA,UNO -96.FI 240MM.=DF1791;35,15;41
15110;8717109002898;DISK PR.RENO MASTER 28-35 2,0/2,5TD -98.DF1012;108,83;127
15112;8717109002911;DISK PR.RENO 19/21=DF1013;35,91;42
15114;8717109002973;DISK PR.RENO 25 ESPACE 81.-=DF1017;48,22;56
15116;8717109003000;DISK PR.RENO 5 CLIO=DF1015;21,47;25
15117;8717109003031;DISK PR.CLIO VENT.=DF1016;33,86;40
15315;8717109003345;DISK PR.CITROEN, PEŽO 205/306/309=DF1217;32,59;38
15414;8717109003611;DISK PR.CITROEN BX=DF1216;30,29;35
15415;8717109003642;DISK ZAD.CITROEN BX 83.-=DF1117;33,17;39
15575;8717109004915;DISK PR.NISSAN PATROL VENT.DF1967;70,03;82
15703;8717109006032;DISK PR.VW GOLF II 10 MM=DF1518;30,77;36
15704;8717109006094;DISK PR.AUDI/80 -86.VW GOLF II/III VENT.=DF1517;32,90;38
15706;8717109006155;DISK PR.VW GOLF II/III, 12 MM=DF1516;33,41;39
15728;8717109006582;DISK PR.ESCORT-90. SIERRA-93.VENT.=DF1649;37,66;44
15733;8717109006711;DISK PR.FORD FIESTA -89.=DF1630;30,96;36
15741;8717109006940;DISK PR.MERCEDES 207/308/410=DF1577;79,85;93
15746;8717109007060;DISK PR.AUDI 80/100 -90. VENT.=DF1530;61,20;72
15748;8717109007121;DISK PR.OPEL KADETT E 13 MM=DF1608;33,46;39
15749;8717109007169;DISK ZAD.AUDI/80 B4 AUDI/100 -90.=DF1526;32,77;38
15777;8717109007848;DISK PR.VW T2 -79.=DF1515;115,15;135
15778;8717109007862;DISK PR.MERCEDES W201 83.-93=DF1584;40,00;47
15779;8717109007916;DISK ZAD.MERCEDES W124/W201=DF1583;33,00;39
15782;8717109007978;DISK PR.MERCEDES/G W460-463=DF1599;116,00;136
15810;8717109008449;DISK PR.VW GOLF III, PASSAT VENT.256MM=DF1533;37,13;43
15811;8717109008487;DISK PR.VW T2 1,6/2,1 SYNCHRO=DF1544;83,19;97
15814;8717109008555;DISK PR.FORD TRANSIT -92. 14MM=DF1653;61,29;72
15815;8717109008579;DISK ZAD.MERCEDES W202/W210 278X9=DF2757;41,68;49
15818;8717109008661;DISK ZAD.OPEL OMEGA A=DF1613;54,83;64
15839;8717109009040;DISK PR.CITROEN AX-97,SAXO 2/96-=DF1120;19,65;23
15857;8717109009293;DISK PR.FIAT PUNTO 93.-ZAD.ALFA 146/155=DF1745;32,85;38
15858;8717109009323;DISK PR.ALFA 145/155 -98.=DF1747;36,38;43
15860;8717109009354;DISK PR.LADA NOVA SAMARA 86-DF1748;36,36;43
15867;8717109009491;DISK PR.BMW E34=DF2555;81,75;96
15868;8717109009521;DISK ZAD.BMW E34=DF2557;57,31;67
15878;8717109009712;DISK PR.VECTRA/A/B 2,0 VENT.=DF1625;44,28;52
15880;8717109009774;DISK PR.CITROEN, PEŽO/306 99.- VENT.=DF1221;36,73;43
15935;8717109010749;DISK PR.VW GOLF III PASSAT 13MM=DF1532;39,89;47
15953;8717109011104;DISK PR.ALFA 147 00.- +ABS =DF1749;56,20;66
15961;8717109011241;DISK PR.ŠKODA FAVORIT 90.-=DF1662;54,26;63
15962;8717109011272;DISK ZAD.VW GOLF III PASSAT,VENTO=DF1529;40,73;48
15965;8717109011326;DISK PR.FORD ESCORT,FIESTA 90.-10MM=DF1658;31,53;37
15981;8717109011579;DISK PR.FORD ESCORT FIESTA 90.-VENT.=DF2753;36,59;43
16022;8717109012309;DISK PR.NISSAN PATROL GR 88.-;67,15;79
16041;8717109012651;DISK PR.NISSAN TERANNO I 90.-95. 286X70=DF7175;116,00;136
16046;8717109012743;DISK PR.ALFA 145/155 BRAVA PUNTO VENT.=DF2686;41,23;48
16052;8717109012859;DISK PR.CITROEN XM -94, PEŽO 605 -92 VENT.=DF1222;75,44;88
16058C;8717109582666;DISK+LAGER RENO CLIO I/II 19 CHAMADE;62,66;73
16069;8717109013146;DISK PR.PASSAT 1,8 G60 88.-VENT.=DF2631;58,87;69
16080;8717109013375;DISK PR.VW GOLF III PASSAT 2,8 VR6 VENT.=DF2619;61,31;72
16082;8717109013412;DISK PR.VW T4 90.- FI 260MM.=DF1593;106,00;124
16084;8717109013450;DISK ZAD.BMW E36=DF1539;45,62;53
16085;8717109013474;DISK PR.BMW E36 -99.E46 99.-286MM VENT.=DF1538;55,52;65
16089;8717109013573;DISK PR.MAZDA 626 92.- VENT.=DF2704;42,55;50
16093;8717109013658;DISK PR.ASTRA, VECTRA A 1,7 1,8 VENT.=DF1624;48,47;57
16096;8717109013719;DISK AUDI 80/B4 91.-VENT.=DF2599;80,37;94
16098;8717109013757;DISK PR.AUDI 100/A6 91.- 288MM VENT.=DF2652;63,84;75
16099;8717109013764;DISK ZAD.AUDI 100/A6 91.-=DF2651;34,73;41
16104;8717109013856;DISK ZAD.NISSAN PRIMERA 1,8/2,0TD -02.=DF2592;31,60;37
16150;8717109014587;DISK PR.RENO MEGANE VENT.=DF2586;43,00;50
16151;8717109014594;DISK RENO CLIO 16V ZAD.=DF2709/DF2706;72,30;85
16153;8717109014624;DISK PR.FIAT MULTIPLA PUNTO 1,9JTD 03.-=DF1757;70,54;83
16179;8717109014976;DISK PR.MERCEDES W202 93.-=DF2654;37,68;44
16180;8717109014990;DISK ZAD.MERCEDES W202 C180/220 93.-=DF2653;39,36;46
16186;8717109015102;DISK PR.CITROEN XANTIA 1,9TD=DF1123;42,60;50
16187;8717109015119;DISK ZAD.CITROEN XANTIA 224X57,5 94.- DF1122;41,92;49
16190;8717109015157;DISK PR.FORD MONDEO VENT.=DF2622;37,44;44
16191;8717109015164;DISK ZAD.FORD MONDEO VENT.=DF2623;30,11;35
16195;8717109015195;DISK PR.FORD TRANSIT 91.-254MM VENT.=DF1622;47,45;56
16201;8717109015300;DISK PR.AUDI 80/B4 91.-=DF2597;56,43;66
16202;8717109015317;DISK PR.AUDI 80/B4 91.- VENT.=DF2601;83,73;98
16215;8717109015461;DISK ZAD.LAGUNA SAFRANE 5 ŠARAFA=DF1029;46,95;55
16217;8717109015492;DISK PR.VENT.RENO LAGUNA MEGANE 93.-=DF1032;46,00;54
16246;8717109015843;DISK PR.VW T4 92.- FI 282MM.=DF2665;98,25;115
16263;8717109016017;DISK PR.OMEGA 2,0 94.-97.VENT.=DF2720;81,38;95
16265;8717109016031;DISK PR.VW GOLF III-9/97,PASSAT,VENTO VENT.=DF2758;67,44;79
16286C;8717109547740;DISK+LAGER RENO CLIO I 91.-98. 1,2/1,9D;66,78;78
16291;8717109016291;DISK PR.JUMPER 94.- DUCATO 2001.- VENT.=DF4769/DF2721;64,43;75
16292;8717109016307;DISK PR.JUMPER,DUCATO,BOXER 94.-VENT.=DF4753S=DF2722;79,07;93
16293;8717109016314;DISK PR.AUDI A4 95.- 13MM=DF2730;48,06;56
16298;8717109016369;DISK ZAD.VW SHARAN GALAXY=DF2777;44,43;52
16299;8717109016376;DISK PR.FORD FIESTA 95.-=DF2752;36,11;42
16325;8717109016635;DISK PR.JUMPY SCUDO EXPERT=DF2754;41,93;49
16329;8717109016673;DISK ZAD.AUDI A4 94-=DF2771;46,57;54
16339;8717109016772;DISK ZAD.BMW E46 98.- E36 -99.276MM VENT.=DF2767=DF2767;49,02;57
16340;8717109016789;DISK ZAD.BMW E39 VENT.=DF2783;54,79;64
16375;8717109017120;DISK ZAD.FORD FOCUS 98.- FIESTA 08.- (DF1654);34,38;40
16422;8717109017595;DISK PR.FIAT STILO 02.-257X40=DF2734;42,85;50
16442;8717109017762;DISK ZAD.AUDI A4 QUATTRO 94.-PASSAT 97.-=DF4026;37,19;44
16448;8717109017823;DISK PR.MERCEDES W210/W203 C180-220 2001.-VENT.=DF2779/DF4180;60,89;71
16449;8717109017830;DISK PR.MERCEDES W210 E420 96.-=DF4556;128,00;150
16450;8717109017847;DISK ZAD.MERCEDES W210 E200/420=DF2813;46,52;54
16453;8717109017878;DISK PR.SPRINTER VW LT 95.- 276X22 VENT.=DF2790/DF4321;63,52;74
16486;8717109018202;DISK PR.VECTRA B 2,5 VENT.=DF2778;57,28;67
16488;8717109018226;DISK ZAD.OPEL VECTRA B -2000=DF2772;42,56;50
16489;8717109018233;DISK ZAD.OPEL VECTRA B 286 MM=DF2773;46,78;55
16541;8717109018769;DISK PR.VW LUPO 98-,POLO 94-,SEAT VENT.=DF2780;36,65;43
16542;8717109018776;DISK PR.POLO 9/94-9/99,SEAT=DF2755;30,64;36
16554;8717109018882;DISK PR.TOYOTA RAV 4 94.-00.=DF4093;42,00;49
16557;8717109018905;DISK ZAD.JEEP CHEROKEE I 91.-=DF4501;47,37;55
16570;8717109019032;DISK PR.MERCEDES G MODEL W463 96.- VENT.;145,89;171
16571;8717109019049;DISK ZAD.W210KOMPRESOR+KARAVAN 290MM 96.-=DF4134;44,17;52
16591;8717109019247;DISK ZAD.VOLVO S40 95-, V40 96-=DF2784;31,38;37
16599;8717109019322;DISK PR.NISSAN BLUEBIRD;255,16;299
16627;8717109019599;DISK PR.ŠKODA FELICIA/VW CADY=DF2765;34,65;41
16647;8717109019797;DISK ZAD.PEŽO 406 95.-=DF2781;48,27;56
16648;8717109019803;DISK PR.PEŽO 406 96.-VENT.=DF2782;41,07;48
16649;8717109019810;DISK PR.PEŽO 406 CITROEN XANTIA=DF2796;64,55;76
16657;8717109019896;DISK PR.VW T4 95.- VENT.=DF2809;55,33;65
16659;8717109019919;DISK ZAD.VW T4/MULTIVAN 95-=DF4047;44,47;52
16804;8717109020755;DISK PR.FORD EXPLORER VENTIL.;169,00;198
16876;8717109021387;DISK ZAD.CITROEN XSARA PEŽO 106 =DF2581;28,53;33
16877;8717109021394;DISK PR.VW PASSAT 96-AUDI A4 VENT.=DF2806;51,42;60
16878;8717109021400;DISK PR.PASSAT 2,3 VR5/1,9TDI 81 KW 96.-VENT.=DF4045;80,41;94
16880;8717109021424;DISK PR.VW GOLF IV,ŠK.OCTAVIA,A3 256MM VENT.=DF2803;43,61;51
16881;8717109021431;DISK PR.VW GOLF IV/OCTAVIA/A3 280MM VENT.=DF2804;51,66;60
16882;8717109021448;DISK PR.VW GOLF IV ŠK.OCTAVIA 288MM VENT.=DF4027;66,30;78
16883;8717109021455;DISK ZAD.VW GOLF IV/ŠKODA OCTAVIA/AUDI A3=DF2805;29,88;35
16886;8717109021493;DISK ZAD.MERCEDES VITO W638 95.-2003.=DF2794;37,78;44
16887;8717109021509;DISK PR.MERCEDES VITO,V200-280 VENT.=DF2797;55,65;65
16899;8717109021615;DISK PR.BERLINGO PARTNER 2000.-2002.=DF2808;47,26;55
16901;8717109021639;DISK PR.CITROEN C5 01.-XANTIA 96.-03.=DF4141;79,87;93
16920;8717109021806;DISK PR.PEŽO 206/306 XSARA 97.-=DF2815;37,48;44
16924;8717109021837;DISK PR.RENO MEGANE SCENIC=DF4110;62,46;73
16927;8717109021868;DISK PR.DAEWOO NUBIRA 97.-04.=DF4547/DF7064;45,53;53
16930;8717109021899;DISK PR.AUDI A6 2,5TDI 01.-312X46,5 =DF4262;85,01;99
16943;8717109022001;DISK PR.IVECO 35.10 99.-=DF2788;162,22;190
16944;8717109022018;DISK ZAD.IVECO DAILY 96.-99.=DF2787;112,35;131
16950;8717109022032;DISK ZAD.SPRINTER VW LT 95.- 285X22 VENT. =DF4089;69,93;82
16952;8717109022056;DISK PR.OPEL ASTRA G 98-VENT.=DF4042;40,19;47
16953;8717109022063;DISK PR.OPEL ASTRA G/ZAFIRA VENT.=DF4048;53,51;63
16954;8717109022070;DISK ZAD.OPEL ASTRA G 98.- 240MM=DF4050;35,16;41
16955;8717109022087;DISK ZAD.OPEL ASTRA G 98.- 264MM=DF4051;38,78;45
16985;8717109022377;DISK PR.MERCEDES W164 A KLASA 260MM=DF4035;44,79;52
17007;8717109022599;DISK PR.FORD FOCUS VENT.=DF4036;42,98;50
17009;8717109022612;DISK ZAD.AUDI A3 QUATTRO 98.-=DF4052;31,30;37
17013;8717109022650;DISK ZAD.VOLVO S60/80=DF4066;55,98;65
17017;8717109022698;DISK PR.MERCEDES W210 270CDI/E280/420 VENT.=DF2812;66,54;78
17029C;8717109547627;DISK ZAD.RENO SCENIC 2001.-274MM + LAGER=DF4272BS;132,24;155
17036;8717109022889;DISK PR.MASTER MOVANO 2000- VENT.=DF4111;57,35;67
17056;8717109023084;DISK ZAD.AUDI A6 QUATTRO 97.-=DF4038;59,58;70
17058;8717109023107;DISK PR.VW GOLF IV VR5/AUDI TT 312MM=DF4064;95,48;112
17059;8717109023114;DISK ZAD.GOLF IV 2,3/2,8 A3 OCTAVIA VENT.=DF4065;76,78;90
17061;8717109236026;DISK ZAD.AUDI A6 QUATTRO 97.-=DF4126;43,29;51
17062;8717109236033;DISK PR.AUDI A6 QUATTRO V6 98- VENT.=DF4039;43,54;51
17090;8717109236309;DISK PR.KIA RIO 00.-05. 235X46=DF4438;75,24;88
17094;8717109236347;DISK ZAD.MAZDA 6 02.- 280X40=DF4442;40,55;47
17112;8717109236521;DISK ZAD.MERCEDES W220 S320CDI 98.-05.=DF4436;91,86;107
17114;8717109236545;DISK PR.VW SHARAN 2,8 V6 00.-313MM VENT=DF4310;106,21;124
17116;8717109236569;DISK ZAD.FORD MONDEO 1,8/2,0/3,0 2000.-=DF4218=DF4218;41,15;48
17130;8717109236705;DISK ZAD.MITSUBISHI PAJERO IV 07.-DF7061;60,45;71
17148;8717109236880;DISK PR.OPEL COMBO CORSA 2000.-=DF4165;40,05;47
17150;8717109236903;DISK PR.OPEL ASTRA G 2,0=DF4246;75,89;89
17151;8717109236910;DISK PR.FORD MONDEO 1,8/2,0/3,0 2000.- VENT.=DF4147=DF4147;57,64;67
17155C;8717109547771;DISK+LAGER ZAD.RENO LAGUNA II 01.-274MM=DF4227BS;130,37;153
17171;8717109237115;DISK ZAD.TOYOTA AVENSIS PREVIA=DF4561;47,07;55
17183;8717109237238;DISK PR.TOYOTA RAV4 2000.-=DF4161;61,59;72
17190;8717109237306;DISK ZAD.VW SHARAN FORD GALAXY ALHAMBRA=DF4208;60,17;70
17192;8717109237320;DISK ZAD.VW POLO 1,4/1,6/1,9D 99.-2001.=DF4062;35,00;41
17194;8717109237344;DISK PR.ŠKODA FABIA 99.- 239X35MM=DF4253;38,72;45
17195;8717109237351;DISK PR.VW POLO LUPO 98.-=DF4232;61,21;72
17199;8717109237399;DISK PR.HYUNDAI ELANTRA 2,0CRDI 00.-;56,49;66
17200;8717109237405;=DF4287 DISK ZAD.HYUNDAI SANTA FE 01.-;46,43;54
17221;8717109237610;DISK ZAD.AUDI S4 QUATTRO=DF4210;50,11;59
17239;8717109237795;DISK PR.AUDI A6 97.-05.QUATTRO=DF6060S;175,36;205
17240;8717109237801;DISK ZAD.AUDI A6 4,2 QUATTRO 98.-269X53,9=DF4352;52,04;61
17329;8717109252439;DISK PR.OPEL VIVARO 01.-=DF4275=DF4275S;72,36;85
17331;8717109252453;DISK ZAD.MOVANO MASTER 99.-=DF4234;65,37;76
17332;8717109252460;DISK ZAD.AUDI A4 2000-=DF4186;33,75;39
17333;8717109252415;DISK ZAD.AUDI A6 PASSAT 2,5TDI 2000.-=DF4211;34,28;40
17336;8717109252484;DISK PR.XSARA C3 PEŽO 206=DF4184;45,64;53
17337;8717109252491;DISK PR.CITROEN C5 01.-276X62=DF4215;54,00;63
17338;8717109252507;DISK PR.XSARA PEŽO 206/307 VENT.=DF4183;58,00;68
17340;8717109253139;DISK PR.FIAT STILO 1,9JTD 01.-=DF4377;59,33;69
17344;8717109253177;DISK PR.PEŽO 607 3,0 V6 24V 00.-DF4237;147,30;172
17346;8717109254976;DISK PR.SPRINTER LT=DF2790;107,62;126
17357;8717109253801;DISK ZAD.PEŽO 307 CITROEN C3 2001.-=DF4185;29,76;35
17362;8717109253863;DISK PR.OPEL CORSA C 2000.-240X41,2=DF4236;32,31;38
17363;8717109253870;DISK PR.PEŽO 607 2,0/2,0HDI 00.-04.283MM=DF4142;77,42;91
17368;8717109254402;DISK PR.OPEL VECTRA C 04/02.-285MM=DF4293;57,27;67
17369;8717109254419;DISK ZAD.OPEL VECTRA C SIGNUM 2002.-=DF4266;36,17;42
17399;8717109254686;DISK ZAD.MERCEDES W211 TAXI 300MM VENT.=DF4270;71,24;83
17400;8717109254693;DISK PR.MERCEDES W211 295MM 2002.- VENT.=DF4261;65,20;76
17402;8717109254716;DISK ZAD.MERCEDES W211 2002.-=DF4263;49,02;57
17403;8717109254723;DISK PR.MERCEDES W211 E320 CDI 2003.-=DF4264;102,03;119
17406;8717109254747;DISK PR.FIAT ULYSSE C8 PEŽO 807 02.-=DF4257;68,20;80
17433;8717109255942;DISK PR.C-CROSSER PEŽO 4007 02/07.- DF6174;87,00;102
17447C;8717109518191;DISK+LAGER RENO CLIO II=DF6045BS;97,95;115
17451C;8717109541601;DISK ZAD. SA LEŽ.RENAULT ESPACE 02.-=DF4413BS;127,73;149
17461;8717109256246;DISK ZAD.PEŽO BOXER FIAT DUCATO 02.-=DF4481;72,05;84
17473;8717109256369;DISK ZAD BMW E46 325XI 4X4=DF4296;112,48;132
17486;8717109256499;DISK PR.IVECO DAILY II 65C15;135,13;158
17506;8717109256673;DISK PR.RENO ESPACE IV 02.- 324MM=DF4231;109,98;129
17507C;8717109495768;DISK ZAD.RENO ESPACE 3,0DCI 02.-;113,92;133
17510;8717109257441;DISK PR.TOYOTA AVENSIS 03.-=DF4445S;57,02;67
17520;8717109260298;DISK ZAD.VW GOLF V 1,6/1,9/2,0=DF4276;33,53;39
17521;8717109260304;DISK PR.GOLF V A3 OCTAVIA CADDY 288MM 2003.-VENT.=DF4295;62,98;74
17522;8717109260311;DISK PR.GOLF V A3 2004.- ZA 16COL.280MM VENT.=DF4294;51,62;60
17524;8717109261196;DISK PR.VW T5 MULTIVAN 03.-308MM VENT.=DF4308S;90,08;105
17525;8717109261202;DISK ZAD.VW T5 MULTIVAN 2003.-294MM VENT.=DF4312;64,05;75
17527;8717109348231;=DF2652 DISK PR.VW PASSAT 96.- 288MM VENT.=DF4816;92,51;108
17529;8717109348255;DISK PR.AUDI A8 3,0/3,2 VENT.2003.-;90,10;105
17541;8717109348378;DISK PR.RENO CLIO III 05.-280X44=DF4364;48,00;56
17542;8717109348385;DISK ZAD.RENO MEGANE II 02.-=DF4274;44,32;52
17542C;8717109547801;DISK+LAGER ZAD.CLIO 05.- MEGANE 03.-=DF4274BS;104,79;123
17546;8717109348200;DISK PR.VW T5 MULTIVAN 03.-333MM =DF4309;84,20;99
17547;8717109348224;DISK ZAD.CADDY A3 OCTAVIA 2004.- 260MM DF4271;41,30;48
17551;8717109353945;DISK PR.HYUNDAI TERRACAN 3,5/2,9CRDI 2001.- VENT.;100,34;117
17555;8717109357790;DISK ZAD.PEŽO 407 04.-=DF4351=DF4351;50,18;59
17558;8717109356700;DISK PR.VW PASSAT 05.-1,6/2,0 FSI/TDI=DF4464;70,82;83
1755Q;8717109507232;OSIGURAČI PLOČICA VW GOLF VII 12.- PASSAT 14.-;7,16;8
17578;8717109369878;DISK PR.HYUNDAI ACCENT 1,3/1,5 00.- =DF4496;42,61;50
17583;8717109367102;DISK ZAD.FORD FOCUS II 04.- C-MAX=DF4372;41,09;48
17586;8717109367843;DISK PR.FOCUS C-MAX 2003.-278MM VENT.=DF4314;63,80;75
17587;8717109367836;DISK PR.FOCUS C-MAX 16COL 2003.-300MM=DF4313/4424;79,58;93
17591;8717109368840;DISK PR.PEŽO 107 05.-=DF4469;43,46;51
17603;8717109371697;DISK ZAD.BMW E87 2,0 04.-=DF4450;62,27;73
17619;8717109373639;DISK PR.DACIA LOGAN +ABS 259X40,9=DF4381;44,50;52
17624;8717109373929;=DF4358S DISK PR.AUDI A6/A8 3,0/3,0TDI/3,2FSI 01.-321MM V.;125,19;146
17628;8717109373967;DISK ZAD.VW GOLF V PLUS JETTA III 05.-=DF4558;42,87;50
17631;8717109373875;DISK ZAD.PEŽO 307 CITROEN C4 04.-=DF2059;75,80;89
17645;8717109374599;DISK ZAD.MERCEDES A/B KLASA W169/W245 2004.-=DF4453;38,29;45
17648;8717109375114;DISK PR.HYUNDAI H1 STAREX 01.- DF7281;65,05;76
17676;8717109379747;DISK PR.HYUNDAI IX35/I40/SONATA/TUCSON=DF6108S;89,19;104
17685;8717109379235;DISK ZAD.DAEWOO EVANDA 02.-;38,61;45
17710;8717109479058;DISK PR.OPEL CORSA D/E, FIAT PUNTO=DF4796;44,83;52
17717;8717109480696;DISK ZAD.MITSUBISHI GRANDIS 04.-301,5MM;80,94;95
17727C;8717109547825;DISK+LAGER ZAD.SCENIC GRAND SCENIC 2003.- 270MM=DF4414BS;123,60;145
17728C;8717109547856;DISK ZAD.RENO SCENIC II 03.- +LAGER;128,68;151
17729;8717109548280;=(DF4754)DISK ZAD.VW GOLF V PASSAT 310MM VENT.;87,75;103
17730;8717109547948;DISK PR.SPRINTER 06.-VW CRAFTER 300X68,5 6R.;77,89;91
17731;8717109548143;DISK ZAD.SPRINTER VW CRAFTER 06.-303X93=DF4919;106,03;124
17732;8717109547955;DISK ZAD.MERC.SPRINTER/VW CRAFTER 06.- 298X71MM;95,02;111
17736C;8717109547849;DISK+LAGER RENO MEGANE II 05.- SCENIC II 03.-;136,18;159
